name,description,ingredients_raw,steps,tags
Super Simple Cookies and Cream Ice Cream,This super simple recipe only has 4 ingredients and doesn't need an ice cream machine,"['2 cups heavy cream', '7 ounces condensed milk', '12 chocolate sandwich style cookies, crumbled, additional cookies for topping if desired', '1 teaspoon vanilla extract or 1 teaspoon flavoring']","['In a large bowl, add the cream and condensed milk, then whip until soft peaks form.', 'Add the cookies and vanilla then gently fold to combine.', 'Transfer mixture to a baking pan. Top with additional cookies if desired, then freeze for 3-4 hours.', 'Enjoy!']","['time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', '5-ingredients-or-less', 'desserts', 'eggs-dairy', 'easy', 'kid-friendly', 'vegetarian', 'dietary', 'low-sodium', 'comfort-food', 'low-in-something', 'taste-mood', 'sweet', '4-hours-or-less', 'ice-cream', 'from-scratch']"
Classic Snickerdoodles,"I've used this recipe for years, its from Better Homes and Garden's Heritage Cookbook. They are moist and chewy and have an excellent flavor. A warning however, they are addictive, just try to have one.","['3 3/4  cups    all-purpose flour', '1/2  teaspoon    baking soda', '1/2  teaspoon    cream of tartar', '1   cup    butter, softened ', '2   cups    sugar', '2       eggs', '1/4  cup    milk', '2   teaspoons    vanilla', '3   tablespoons    sugar', '1   tablespoon    cinnamon']","['Preheat oven to 375 degrees. In a small bowl mix 3 tbl. of sugar and 1 tbl. of cinnamon. Set aside. Next, cream butter and sugar until fluffy.  Add vanilla, milk, and eggs and beat well.  Add baking soda, cream of tartar, and flour until the dough is well combined and formed.Make one inch balls with a cookie scoop or spoon. Roll each ball in the mixture of cinnamon sugar.Place cookies on a parchment paper (or greased) cookie sheet and slightly flatten each ball with the palm of your hand. Bake for 8-10 minutes until light golden.']","['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'for-large-groups', 'desserts', 'easy', 'cookies-and-brownies', 'number-of-servings', '3-steps-or-less', 'sugar-cookies']"
Grammy Dorothy’s Brownies,"Dated 6/21/78, this is a victory for my mother, since no one else got the famed brownie recipe.  These are amazing.  They must be done by hand in order to insure the proper texture.  Just think, you’re pre-emotively burning calories!","['1/2  cup    shortening', '1   cup    granulated sugar', '2   large    eggs, beaten ', '2   ounces    unsweetened chocolate, melted ', '3/4  cup   sifted cake flour', '1/4  teaspoon    baking powder', '1/4  teaspoon    salt', '3/4  cup   chopped nuts']","['Work shortening with spoon until fluffy and creamy.', 'Gradually add sugar, while continually working with spoon until light.', 'Add eggs and the melted chocolate.', 'Mix and sift the flour, baking powder and salt, and add, along with the nuts.', 'Mix well, and turn into a greased 8x8 square pan.', 'Bake at 350° for 30-35 minutes.']","['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'for-large-groups', 'desserts', 'cookies-and-brownies', 'chocolate', 'number-of-servings']"
Pignoli Cookies,"I found this recipe a few years ago in Good Housekeeping's annual cookie contest.  While this recipe has expensive ingredients, it's well worth it for Christmas because everyone loves them so much!","['2       egg whites', '7   ounces    almond paste', ""1/2  cup    confectioners' sugar"", '1/2  cup    granulated sugar', '1/4  cup    flour', '1   pinch    salt', '1 1/4  cups    pine nuts (pignoli)']",[],"['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'rolled-cookies', 'desserts', 'cookies-and-brownies', 'dietary', 'low-sodium', 'low-in-something']"
Rum Balls,My family bakes up the scraps from the Fannie Farmer Sugar Cookie recipe and crumbs that for the base of these delicious cookies,"['3   cups    sugar cookies or 3   cups    vanilla wafers', '2   cups    icing sugar', '6   tablespoons    cocoa', '1   cup   finely chopped nuts', '6   tablespoons    corn syrup', '1/2  cup    rum', '  shredded coconut']","['mix all ingredients.', 'roll into 1 inch balls.', 'roll balls into cocoanut.']","['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'for-large-groups', 'healthy', 'desserts', 'easy', 'cookies-and-brownies', 'dietary', 'low-cholesterol', 'healthy-2', 'low-in-something', 'number-of-servings', '3-steps-or-less']"
Best Ever Chocolate Chip Cookies!,These cookies are wonderful because they don't flatten out and they stay soft!!,"['1/2  cup    butter', '1/2  cup    margarine', '1   cup    brown sugar', '1   cup    white sugar', '1   teaspoon    vanilla', '1   teaspoon    lemon juice', '1   teaspoon    salt', '2       eggs', '4   cups    flour', '1 1/2  teaspoons    baking powder', '1 1/2  teaspoons    baking soda', '1   cup    chocolate chips (more or less to taste)', '  nuts']","['Cream together butter, margarine and sugars.', 'Next add vanilla, lemon juice, eggs, and salt.', 'Stir in dry ingredients.', 'Make cookies desired size.', '(They turn out very well if you roll the dough into a ball then flatten it some onto the cookie sheet).', 'Bake at 350 degrees for about 13 minutes.', 'Makes around 4 dozen.']","['weeknight', 'time-to-make', 'course', 'preparation', 'drop-cookies', 'desserts', 'cookies-and-brownies', 'dietary', 'number-of-servings', '4-hours-or-less']"
Chocolate Pretzel Cookies,use coarse sugar to resemble salt and these pretzels will look like their pretzel clones,"[""2   ounces    baker's unsweetened chocolate squares"", '1/4  cup    butter, softened ', '1/4  cup    Crisco', '1/2  cup    brown sugar, packed ', '1   pinch    salt', '  coarse sugar', '1/2  teaspoon    cinnamon', '2   large    eggs', '2 1/4  cups    flour', '1       egg white, lightly beaten ']",[],"['time-to-make', 'course', 'preparation', 'hand-formed-cookies', 'desserts', 'cookies-and-brownies', 'dietary', 'low-sodium', 'low-in-something', '4-hours-or-less']"
Whole Wheat Chocolate Chip Cookie,"A version of another recipe, just healthier!","['1 1/2  cups    rolled oats', '2   cups    whole wheat flour', '1   teaspoon    baking soda', '1   teaspoon    salt', '1/2  cup    butter, softened ', '1/2  cup    applesauce', '2/3  cup    white sugar', '2/3  cup    brown sugar', '2   large    eggs', '2   teaspoons    vanilla', '2   cups    chocolate chips']","['Preheat oven to 350 degrees.', 'Grease a baking sheet or use a baking stone.', 'Grind rolled oats in a blender or food processor, then transfer to a medium bowl.', 'Add in flour, baking soda and salt; mix to combine.', 'In a separate bowl beat butter until fluffy.', 'Add in applesauce, both sugars, egg, and vanilla extract; beat until smooth and creamy.', 'Add in dry ingredients and mix just until combined.', 'Add in chocolate chips.', 'Drop by heaping teaspoonfuls onto greased baking sheet.', 'Bake (one sheet at a time) until firm around the edges and golden on top (about 12-15 minutes).', 'Cool cookies for 2 minutes on sheet then remove to wire rack to cool completely.']","['weeknight', '60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'occasion', 'for-large-groups', 'drop-cookies', 'desserts', 'cookies-and-brownies', 'inexpensive', 'number-of-servings']"
Deep Dark Brownies - Dairy and Gluten Free,Adapted from the recipe on the back of the King Arthur Double Dutch Dark Cocoa bag...delicious and quick.,"['2/3  cup    dark cocoa', '1 1/2  cups    sugar', ""1/2  cup    confectioners' sugar"", '3/4  teaspoon    salt', '1   teaspoon    xanthan gum', '3/4  cup    rice flour', '2   tablespoons    potato starch', '2   tablespoons    tapioca flour', '1   tablespoon    espresso powder', '1   cup    chocolate chips', '3   large    eggs', '1/2  cup    canola oil', '2   tablespoons    water or 2   tablespoons    coffee']","['Preheat oven to 350°F.', 'Mix all of the dry ingredients.', 'Add all the wet ingredients.', 'Bake in a greased 8 x 8 pan for 25-30 minutes.', 'Cool before cutting.']","['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'desserts', 'cookies-and-brownies', 'dietary', 'gluten-free', 'free-of-something']"
Spritz Cookies,"This recipe came with my cookie press and I am posting it here for safe keeping. The dough works particularly well with the press, and makes well-formed cookies.","['1   cup    unsalted butter, at room temperature ', '1   cup    sugar', '1   large    egg', '2 1/2  teaspoons    vanilla extract', '1/2  teaspoon    ground cardamom', '1/2  teaspoon    salt', '2 1/2  cups    all-purpose flour, sifted ']","['Preheat the oven to 375Ëš F.', 'Combine the butter and sugar in a large bowl. Using an electric mixer set on medium speed, beat until light and fluffy.', 'Beat in the egg, vanilla extract, cardamom (if using), and salt. Using a spoon, stir in the flour until well mixed.', 'Pack the dough into a cookie press. Fit the press with the desired disk, and press the dough out onto an ungreased cookie sheet, spacing the cookies 1 inch apart.', 'Bake until lightly golden, about 10 to 12 minutes. Gently transfer the cookies to wire racks to cool. Sprinkle with vanilla sugar, if desired, or decorate with icing.']","['60-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'occasion', 'desserts', 'german', 'european', 'holiday-event', 'cookies-and-brownies', 'christmas']"
Holiday Wreaths With Cherries Spritz Cookies for Cookie Press,"Every holiday season I always make several different of batches of spritz cookies, but this variation is my favorite. The kids always help make the cookies and is becoming a tradition in our home.Prep time includes chill time and cooking time assumes 15 minutes per dozen","['1   cup    butter, softened to room temperature ', '3   ounces    fat free cream cheese, softened to room temperature ', '1   cup    granulated sugar', '1       egg yolk', '1 1/2  teaspoons    vanilla extract, pure not imitation ', '1/2  teaspoon    almond extract', '2 1/2  cups    all-purpose flour', '1/2  teaspoon    baking powder', '1/4  teaspoon    salt', '4   dozen    red maraschino cherries', '1/4  cup    decorator sugar, green color  (or enough to coat cookies)']",[],"['course', 'occasion', 'desserts', 'holiday-event', 'kid-friendly', 'cookies-and-brownies', 'dietary', 'christmas']"
Citrus Sugar Cookie Dough,I love these sugar cookies for the wonderful combination of orange and lemon. The dough can be a bit tender. I will advise to use floured parchment paper to roll out the dough and cut cookies. Remove the scraps so you don't have to move the cookies.,"['2   cups    unbleached all-purpose flour', '1 1/2  teaspoons    baking powder', '1/4  teaspoon    salt', '3/4  cup    unsalted butter, room temperature ', '1 1/4  teaspoons    lemon peel, grated ', '1 1/4  teaspoons    tangerine peel or 1 1/4  teaspoons    orange peel, grated ', '1/2  cup    sugar', '1/4  cup    powdered sugar', '1   large    egg', '3   tablespoons    fresh lemon juice', '1/8  cup    milk', '3 -4   cups    powdered sugar', ' assorted food coloring (such as blue, red, yellow and green)']","['Sift flour, baking powder and salt into medium bowl.', 'Using electric mixer, beat butter, lemon peel and tangerine peel in large bowl until light.', 'Add 1/2 cup sugar and 1/4 cup powdered sugar and beat until fluffy.', 'Beat in egg.', 'Add dry ingredients. Using spoon, stir until mixture forms dough (dough will be soft).', 'Divide dough into thirds. Gather each third into ball; flatten into disks. Wrap each disk in plastic and refrigerate until firm, about 4 hours. (Can be prepared 2 days ahead. Keep refrigerated. Let soften slightly, if necessary, before rolling out.).', 'Preheat the oven to 350°F Generously flour work surface and rolling pin. Place 1 dough disk on work surface (keep remaining 2 dough disks refrigerated). Press rolling pin into dough several times to flatten slightly for easier rolling. Roll out dough to 1/8- to 1/4-inch thickness, frequently lifting and turning dough to prevent sticking. Using assorted cookie cutters dipped into flour, cut out cookies. Transfer cookies to ungreased nonstick baking sheets, spacing 1/2 inch apart. Gather dough scraps together and reserve.', 'Bake until cookies turn brown on edges, about 15 minutes. Let cookies stand on sheets 1 minute. Using metal spatula, transfer cookies to racks and cool completely.', 'Repeat rolling, cutting and baking with remaining 2 dough disks as described above, being sure to cool cookie sheets before making each batch. Combine all reserved dough scraps and shape into ball; flatten into disk. Wrap disk in plastic and freeze until firm enough to roll, about 30 minutes. Repeat rolling, cutting and baking as described above. Store cooled cookies in airtight container at room temperature until ready to decorate.', 'Frosting:', 'Combine lemon juice and milk in large bowl. Whisk in 5 cups powdered sugar. Gradually whisk in enough remaining sugar by 1/2 cupfuls to form icing stiff enough to pipe (mixture will resemble stirred sour cream). Transfer 2/3 cup icing to small bowl to use as white icing; set aside. Divide remaining icing equally among 2 or more small bowls; mix food coloring by drops into each bowl, tinting icing to desired shade. If necessary, stir more sugar into icing to thicken.']","['course', 'occasion', 'rolled-cookies', 'desserts', 'holiday-event', 'cookies-and-brownies', 'christmas']"
Surprise Cookies,These little tidbits are wonderful! They look awesome too! Found them on Martha Stewart site.,"['1 3/4  cups    all-purpose flour', '3/4  cup    cocoa powder', '1/2  teaspoon    baking soda', '1/2  teaspoon    salt', '1/2  cup    unsalted butter, softened ', '1   cup    sugar', '1   large    egg', '1/2  cup    milk', '1   teaspoon    pure vanilla extract', '12   large    marshmallows, cut in half horizontally ', ""2   cups    confectioners' sugar"", '4   tablespoons    unsalted butter, melted & cooked ', '1/4  cup    cocoa powder', '1/4  cup    milk', '1/4  teaspoon    pure vanilla extract']",[],"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'for-large-groups', 'drop-cookies', 'desserts', 'kid-friendly', 'cookies-and-brownies', 'chocolate', 'dietary', 'gifts', 'comfort-food', 'toddler-friendly', 'taste-mood', 'number-of-servings']"
Kahlua Chocolate Chip Cookies,Monster cookies.,"['1/2  cup    unsalted butter or 1/2  cup    margarine, room temp ', '1/2  cup    brown sugar, packed ', '2   teaspoons    granulated sugar', '1       egg, lightly beaten room temp ', '1   teaspoon    pure vanilla extract', '1/3  cup   toasted walnuts, measured after rough chop ', '1/3  cup    chocolate chips, measured after rough chop ', '3/4  cup    whole wheat flour', '3/4  cup    all-purpose flour', '1/2  teaspoon    baking soda', '1/2  teaspoon    salt', '1/4  teaspoon   freshly grated cinnamon or 1/2  teaspoon    ground cinnamon', '1/4  cup    Kahlua']","['Heat oven to 350°F.', 'In a large bowl, cream butter ( or margarine ) and sugars. Stir in egg and vanilla extract. Stir in walnuts and chocolate chips.', 'In another bowl, sift flours with baking soda, salt and cinnamon, Then add to the creamed mixture. Mix in the Kahlua ( dough should be the consistency of playdough - If too dry - add a splash of Kahlua. If too wet - add flour ).', 'Roll dough into a log and divide into 8 pieces, placing pieces on a parchment lined cookie sheet and flatten with flour dusted palm of your hand.', 'Bake for 10- 12 minutes or until done - ovens vary.']","['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'hand-formed-cookies', 'desserts', 'cookies-and-brownies', 'dietary', 'number-of-servings']"
Katalin's Classic Sugar Cookies,"I haven't tried these yet, but my friend Katalin is an amazing cook, so I'm assuming these are going to be delicious. Enjoy!","['2   cups    all-purpose flour, sifted ', '2   teaspoons    baking powder', '1/2  teaspoon    salt', '2   large    eggs', '3/4  cup    sugar, plus additional sugar for topping ', '2/3  cup    vegetable oil', '2   teaspoons    vanilla extract', '1   teaspoon    lemon zest']","['Preheat oven to 400°F.', 'Sift flour, baking powder and salt into a medium bowl and mix well.', 'Whisk eggs in a large bowl until blended. Add sugar, oil, vanilla extrct and lemon zest and mix well.', 'Stir the dry ingredients into egg mixture until blended.', 'Chill, covered, for 30 minutes or longer.', 'Drop cookie dough by rounded teaspoonfuls 2 inches apart onto ungreased baking sheets.', 'Mist the bottom of a 3-inch flat-bottom glass with water and dip glass in additional sugar.', 'Press the top of each cookie lightly with the glass to flatten, misting glass with water and dipping in sugar before pressing each cookie.', 'Bake cookies until lightly browned, about 8 minutes.', 'Cool on baking sheets for 2 minutes.', 'Remove to wire racks to cool completely.']","['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'occasion', 'drop-cookies', 'desserts', 'easy', 'kid-friendly', 'cookies-and-brownies', 'dietary', 'gifts', 'inexpensive', 'taste-mood', 'sweet']"
